,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,0_percentage,nan_percentage,auc,ks,psi
feature1,19519.0,0.21338183308571135,0.40970553590371506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6608134280180762,0.15993113836884013,0.4885252853088681,0.0,0.0856954335739349
feature2,19519.0,0.036374814283518624,0.18722575419543727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8095115128039595,0.15993113836884013,0.49583024990771984,0.0,0.08584054683652405
feature3,19519.0,0.04323992007787284,0.2034019394774707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8037443511943189,0.15993113836884013,0.505388154414017,0.010776308828033869,0.08705259036989439
feature4,19519.0,0.2608227880526666,0.4390946811934514,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6209597589842909,0.15993113836884013,0.4940195372222327,0.0,0.08635428199390564
feature5,18062.0,0.24759162883401617,0.4316252178173449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5848934796642995,0.22263826124381322,0.4951902141662976,0.0,0.033199209680517566
feature6,18062.0,0.07108847303731591,0.2569796845155766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7221002797503766,0.22263826124381322,0.5075182347486557,0.015036469497311258,0.03104943912284586
feature7,17145.0,0.21306503353747447,0.4094851706978623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5806757047557564,0.2621045836023241,0.48822129733390807,0.0,0.13268447644259607
feature8,17145.0,0.2568678915135608,0.43691865620812426,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5483537766300839,0.2621045836023241,0.49412335029461485,0.0,0.1327270057727168
feature9,16853.0,0.19177594493561978,0.3937094480429439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5862276737680224,0.27467183128900363,0.4822023373824935,0.0,0.11669437782754193
feature10,14992.0,0.1891008537886873,0.3916017745156787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5232192812567248,0.3547665160318485,0.4997594292944743,0.0,0.06923321170254648
